suite_id,market,source,provider,file_name,raw_score,calibrated_score,revised_score,score_basis,delta,grade,main_gap,what_is_good,remaining_gap,recommended_fix
PH-D,PH,Competitors,竞品WIZ,PH-D_1_竞品NLU-WIZ.m4a,2.5,3.9,2.7,Competitor raw,0.2,Weak,Opening,"The voice has a clear, intelligible Philippine-English accent suitable for the target market.","Extremely robotic, choppy, and fragmented text-to-speech rendering.",Optimize the VAD engine's end-of-speech detection threshold and implement immediate barge-in handling so the bot stops speaking instantly when the customer interrupts.
TH-B,TH,AI Rudder,COD_TH_TH_Jan_KEX_M25_B,60a92007151c49e4a4e8a3687626c8c4.wav,3.2,4.7,4.7,AI Rudder recalibrated,1.5,Limited,Interrupt / Exception Handling,Clear pronunciation of the brand name 'KEX Express' and numbers.,"Slightly rushed speaking rate with unnatural spacing between syllables in the STT transcript, indicating a choppy TTS engine.","Enable intelligent interruption via real-time VAD (Voice Activity Detection) with end-of-speech probability, forcing the bot to stop talking immediately when the customer speaks for more than 400ms."
TH-C,TH,AI Rudder,TH_DAX_Thai_PTP100_Prod,1da381b6d1614491b253fa6763ffae98.wav,5.0,5.7,5.7,AI Rudder recalibrated,0.7,Usable with fixes,Interrupt / Exception Handling,Clear pronunciation of Thai polite particles ('ครับ') and natural-sounding tone for a collection scenario.,Robotic pacing when reading long numbers and dates.,"Implement intelligent interruption handling via end-of-speech probability. If the customer speaks for more than 1.5 seconds, the bot must immediately stop talking and execute a short barge-in recovery token like 'ครับ?' (Yes?)."
TH-D,TH,Competitors,竞品94,TH-D_1_竞品LLM-94.wav,1.2,2.5,1.2,Competitor raw,0.0,Weak,Opening,No standout item.,Severe language mismatch and hallucinated output (Vietnamese mixed with Japanese characters).,Deploy intelligent interruption turn-detection (end-of-speech probability) to immediately halt bot playback when the customer speaks.
TH-D,TH,Competitors,竞品94,TH-D_2_竞品LLM-94.wav,3.5,4.6,3.5,Competitor raw,0.0,Weak,Opening,Clear pronunciation of Thai polite particles ('ครับ') which helps maintain a professional tone.,"The voice exhibits unnatural spacing and a robotic, segmented flow, especially when pronouncing numbers and English loanwords like 'Easy'.","Improve intelligent turn detection using end-of-speech probability to ensure customer responses are captured and processed immediately, preventing unnecessary prompt repetitions."
TH-E,TH,Competitors,竞品Botnoi,TH-E_1_竞品LLM-Botnoi.m4a,3.5,4.5,3.3,Competitor raw,-0.2,Weak,Latency,"Uses natural Thai polite particles ('ค่ะ', 'นะคะ') consistently.",The voice becomes highly robotic and flat during the long monologue and the final timeout message.,"Replace the hard-timeout hangup script with a polite recovery/pivot template, such as offering to send details via SMS/WhatsApp or transferring to a human agent."
VN-B,VN,AI Rudder,M1_L2_VN_VI_Nhi_Timo_M25,7fc6761420dc470d84d804fa732fa0a9.wav,4.8,6.0,6.0,AI Rudder recalibrated,1.2,Good / usable,Latency,Clear pronunciation and polite tone throughout the call.,Sounds somewhat scripted and flat in long monologues.,Implement intelligent interruption via turn detection so the agent stops speaking immediately when the customer barges in.
VN-C,VN,AI Rudder,IB_VN_VI_Duy_Logistics,03163f0a9a7f4aa1b23ccd457d1e6c6f.wav,5.5,6.2,6.2,AI Rudder recalibrated,0.7,Good / usable,Latency,Polite and professional tone using natural Vietnamese honorifics and particles like 'Dạ vâng' and 'nha'.,"Slightly robotic, flat intonation during longer, information-dense explanations.",Improve intelligent interruption via turn detection (end-of-speech probability) and use short barge-in tokens like 'Dạ?' or 'Dạ em nghe' to gracefully hand back the floor.
VN-D,VN,Competitors,竞品FPT,VN-D_1_竞品NLU-FPT.m4a,3.6,4.6,3.4,Competitor raw,-0.2,Weak,Interrupt / Exception Handling,The pronunciation of the Vietnamese words is clear and intelligible.,"The voice sounds synthetic and lacks natural breathing pauses, especially during the long 12-second opening disclaimer.","Enable intelligent interruption via real-time turn detection. If the customer speaks for >400ms, the agent must immediately stop playback and use a short barge-in token like 'Dạ?' or 'Chị nói đi ạ' to hand back the floor."
VN-D,VN,Competitors,竞品FPT,VN-D_2_竞品NLU-FPT.m4a,4.8,5.6,4.8,Competitor raw,0.0,Limited,Opening,"Clear pronunciation and polite, professional tone appropriate for a financial services bot.","The speaking rate is too fast and rushed, especially during the opening legal disclaimer, lacking natural breathing pauses.",Implement intelligent interruption handling via turn detection (end-of-speech probability) and configure short barge-in tokens to hand back the floor immediately when the customer speaks.
